structure,C2,C3,C4,C5,C6,D3,D3h,D3d
CN9_molecular,0.015,0.051,3.72,10.543,15.766,0.043,3.362,15.576
CN9_oxygen,0.017,0.049,2.042,7.622,15.406,0.04,0.034,21.292
